,famrel,freetime,goout,Dalc,Walc,health,absences,G3,G2_cat,G1_cat,serial_number
0,4.0,3.0,4.0,1.0,1.0,3.0,4.0,11,mid,Mid,00000
1,5.0,3.0,3.0,1.0,1.0,3.0,,11,mid,Mid,00001
2,4.0,3.0,2.0,2.0,3.0,3.0,6.0,12,mid,Mid,00002
3,3.0,2.0,2.0,1.0,1.0,5.0,0.0,14,High,high,00003
4,4.0,3.0,2.0,1.0,2.0,5.0,0.0,13,,Mid,00004
5,5.0,4.0,2.0,1.0,2.0,5.0,6.0,13,mid,Mid,00005
6,4.0,4.0,4.0,1.0,1.0,3.0,0.0,13,,Mid,00006
7,4.0,1.0,4.0,1.0,1.0,1.0,2.0,13,mid,Mid,00007
8,4.0,2.0,2.0,1.0,1.0,1.0,0.0,17,,high,00008
9,5.0,5.0,1.0,1.0,1.0,5.0,0.0,13,mid,Mid,00009
10,3.0,3.0,3.0,1.0,2.0,2.0,2.0,14,,high,00010
11,5.0,2.0,2.0,1.0,1.0,4.0,0.0,13,mid,Mid,00011
12,4.0,3.0,3.0,1.0,3.0,,0.0,12,mid,Mid,00012
13,5.0,4.0,3.0,1.0,2.0,3.0,0.0,13,mid,Mid,00013
14,4.0,5.0,2.0,1.0,1.0,3.0,0.0,15,High,high,00014
15,4.0,4.0,,1.0,2.0,2.0,6.0,17,High,high,00015
16,3.0,2.0,3.0,1.0,2.0,2.0,10.0,14,mid,Mid,00016
17,5.0,3.0,2.0,1.0,1.0,4.0,2.0,14,High,high,00017
18,5.0,5.0,5.0,2.0,,5.0,2.0,7,mid,Mid,00018
19,3.0,1.0,3.0,1.0,3.0,5.0,6.0,12,,Mid,00019
20,4.0,4.0,1.0,1.0,1.0,1.0,0.0,14,mid,Mid,00020
21,5.0,4.0,2.0,1.0,1.0,5.0,0.0,12,mid,Mid,00021
22,,5.0,1.0,1.0,3.0,5.0,0.0,14,mid,Mid,00022
23,5.0,4.0,4.0,2.0,4.0,5.0,2.0,10,mid,Mid,00023
24,4.0,3.0,2.0,1.0,1.0,5.0,2.0,10,mid,Mid,00024
25,1.0,2.0,2.0,1.0,3.0,5.0,6.0,12,mid,Mid,00025
26,4.0,2.0,2.0,1.0,2.0,5.0,8.0,12,mid,Mid,00026
27,2.0,2.0,4.0,2.0,4.0,1.0,0.0,11,mid,Mid,00027
28,5.0,3.0,3.0,1.0,1.0,5.0,2.0,13,mid,Mid,00028
29,4.0,4.0,5.0,5.0,5.0,5.0,4.0,12,mid,Mid,00029
30,5.0,4.0,2.0,3.0,4.0,5.0,0.0,11,,Mid,00030
31,4.0,3.0,1.0,1.0,1.0,5.0,2.0,15,High,high,00031
32,4.0,,2.0,1.0,1.0,5.0,0.0,15,High,high,00032
33,5.0,3.0,2.0,1.0,1.0,2.0,0.0,12,mid,Mid,00033
34,5.0,4.0,3.0,1.0,1.0,5.0,4.0,12,mid,Mid,00034
35,3.0,5.0,1.0,1.0,1.0,5.0,4.0,11,mid,Mid,00035
36,5.0,4.0,3.0,1.0,1.0,4.0,0.0,14,High,high,00036
37,2.0,4.0,3.0,1.0,1.0,5.0,4.0,13,mid,Mid,00037
38,4.0,3.0,2.0,1.0,1.0,5.0,,12,mid,Mid,00038
39,4.0,3.0,1.0,1.0,1.0,2.0,8.0,12,mid,Mid,00039
40,3.0,3.0,3.0,1.0,2.0,3.0,16.0,10,mid,Mid,00040
41,5.0,,3.0,2.0,4.0,5.0,8.0,11,mid,Mid,00041
42,4.0,,3.0,1.0,1.0,5.0,0.0,15,High,high,00042
43,5.0,4.0,1.0,1.0,1.0,1.0,0.0,10,mid,Mid,00043
44,4.0,3.0,3.0,2.0,2.0,5.0,14.0,11,,Mid,00044
45,,2.0,2.0,1.0,1.0,5.0,4.0,11,mid,Mid,00045
